Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0765ed27c04939fcb3df4fe707471a5ed5d14cdfe197020a0415c9e87afd86f2,2023-03,Dorset Police,Dorset Police,-1.781070,50.730041,On or near ,E01020367,Christchurch 006D,Investigation complete; no suspect identified
9ac2539d5fa5c09358c5e4c490d92b0371358214ff85c8b2ba838e34136493cd,2023-03,Dorset Police,Dorset Police,-2.121815,50.698132,On or near Fairway Drive,E01020487,Purbeck 003E,Investigation complete; no suspect identified
19a8779acea713edacdcbb6a2031024abb63da4642fc666accbb3bfd2149c9db,2023-03,Dorset Police,Dorset Police,-2.443984,50.701783,On or near ,E01020524,West Dorset 010E,Investigation complete; no suspect identified
3717551e819cd637c74d77eb1b874803d1a34ed2e3f6344c210051c7ca129204,2023-03,Dorset Police,Dorset Police,-2.276373,51.036263,On or near ,E01020443,North Dorset 001A,Investigation complete; no suspect identified
ee1d7d6c0407a26d0d15447422de09d75bf6478476752c73ec127852b0ded6b5,2023-03,Dorset Police,Dorset Police,-2.016017,50.777069,On or near ,E01020385,East Dorset 012D,Investigation complete; no suspect identified
f457242086b33fb5e541e48c553022fee68b040e29645d41c0a98e1e226388fe,2023-03,Dorset Police,Dorset Police,-2.439095,50.713483,On or near Alexandra Terrace,E01032644,West Dorset 009H,Investigation complete; no suspect identified
41b107d46ba20e1cd493027624a929e45f087b77103e008a5187e14259b0ca14,2023-03,Dorset Police,Dorset Police,-1.881933,50.720006,On or near Orchard Street,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
47e0296d0390938dc69546fde35672ce98abe54cb588e288461de187c9c5e9bd,2023-03,Dorset Police,Dorset Police,-2.429861,50.707402,On or near Farfrae Crescent,E01020519,West Dorset 010B,Investigation complete; no suspect identified
5682daa5d124789817ca382847006f8979bd8f2bfb2f8d9984c668bf9246aeb2,2023-03,Dorset Police,Dorset Police,-2.239432,50.845692,On or near ,E01020441,North Dorset 008D,Investigation complete; no suspect identified
ef8521916fb0ce8a0466da12e5aa75237b5b2ec632af945d92617341465ac0ab,2023-03,Dorset Police,Dorset Police,-1.975907,50.750908,On or near Halstock Crescent,E01015414,Poole 004C,Investigation complete; no suspect identified
d05cea03854b7a54df47d257a70ef66cef98440130aff98f4b1829524b9f81de,2023-03,Dorset Police,Dorset Police,-1.842283,50.754123,On or near ,E01015339,Bournemouth 008B,Investigation complete; no suspect identified
243a55f3782438221af7b96a2804ac1aa1c58a9481871ac8bd840b014d2f76cb,2023-03,Dorset Police,Dorset Police,-1.879962,50.721120,On or near ,E01033285,Bournemouth 017G,Investigation complete; no suspect identified
4f2bbf25aa69d563710350ebe23f11d103d83627c7a8e7baf7359e476c6644f2,2023-03,Dorset Police,Dorset Police,-1.980074,50.718436,On or near ,E01032659,Poole 015F,Investigation complete; no suspect identified
d2f0d6546501b67cee30c2273b6b0079dd00c1eb87a03458471100c1dc1a4c0f,2023-03,Dorset Police,Dorset Police,-1.980074,50.718436,On or near ,E01032659,Poole 015F,Investigation complete; no suspect identified
17756fe74b2a0612024935f6179c506029c97be2fe48352c7ce8546ce579dd7e,2023-03,Dorset Police,Dorset Police,-1.879544,50.829030,On or near Bridges Close,E01020421,East Dorset 006A,Investigation complete; no suspect identified
8df158290a616e50e6c6d409df05afc2b6fb17154110dd594e8b3a757345b55f,2023-03,Dorset Police,Dorset Police,-2.934445,50.728927,On or near Staples Terrace,E01020533,West Dorset 005C,Investigation complete; no suspect identified
781b72a804a28f4e7457d306fa0bcb39f66ea9e3ece7e200d76fb3b001f7898d,2023-03,Dorset Police,Dorset Police,-1.947503,50.685208,On or near Brownsea Road,E01015406,Poole 018E,Investigation complete; no suspect identified
3ac2b2f60858def9ebd4b4c075520a4f7c5eaf86368920b28443a3d25fdeed34,2023-03,Dorset Police,Dorset Police,-1.903049,50.722832,On or near Eldon Place,E01015371,Bournemouth 023A,Investigation complete; no suspect identified
4e536c4fae784f9d694c98450d5ea9ce044bb9e3768ee1a15bd9d7bac3fa631f,2023-03,Dorset Police,Dorset Police,-2.452705,50.619222,On or near Avenue Road,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
65dba28fc54aac1e5ebfca124ae2b2afcc55b6cb7f56d43588a227df7b5c177a,2023-03,Dorset Police,Dorset Police,-1.935915,50.712216,On or near Compton Avenue,E01015458,Poole 013A,Investigation complete; no suspect identified
55c59757d4160d4433769fd3243a0649d53d4098caaf15e3018f086ff78631b1,2023-03,Dorset Police,Dorset Police,-2.439095,50.713483,On or near Alexandra Terrace,E01032644,West Dorset 009H,Investigation complete; no suspect identified
ab13080f9a16fbb5910b11165627b7c0b8078c7726f5eace904401779f527af0,2023-03,Dorset Police,Dorset Police,-1.853358,50.730073,On or near Victoria Road,E01015294,Bournemouth 015C,Investigation complete; no suspect identified
bdb6444efd58101f32d693e629e7f80a4a4391dbb3ecc2f2145f34573f9d88e6,2023-03,Dorset Police,Dorset Police,-2.491406,50.612321,On or near ,E01020516,West Dorset 012E,Investigation complete; no suspect identified
6e5e6b06932e3d967c3f6defaed4576baa0f275fc2fa6cfafd1838a5407fca6a,2023-03,Dorset Police,Dorset Police,-1.951933,50.744870,On or near ,E01015439,Poole 008B,Investigation complete; no suspect identified
fb6e121bd8e6238bebaf7660b9b8e10094e32be68ba5543e5997360cc79e50f5,2023-03,Dorset Police,Dorset Police,-1.913642,50.724845,On or near ,E01015402,Poole 018A,Investigation complete; no suspect identified
c476b16e43e8fff13181082c2078ffba7e37feae07884c9e7ea9e21b5e654740,2023-03,Dorset Police,Dorset Police,-1.861813,50.750568,On or near Brockenhurst Road,E01015322,Bournemouth 010A,Investigation complete; no suspect identified
79c782865c9a23dd15c06977691a6945545ca78a7c5279268637b1c46857b83e,2023-03,Dorset Police,Dorset Police,-2.272268,51.034231,On or near Gillingham,E01020443,North Dorset 001A,Investigation complete; no suspect identified
34bfd8056232db5950bdacdf0f98a016efc53955e1c85a9323c3a2f000e4b9bc,2023-03,Dorset Police,Dorset Police,-1.946290,50.730512,On or near Granville Road,E01015441,Poole 008C,Investigation complete; no suspect identified
375d1d5fee7a766f70d6dc1024c6703604451cf9e12eec67827de13ffbc27441,2023-03,Dorset Police,Dorset Police,-1.791630,50.728909,On or near Riverside Lane,E01015299,Bournemouth 020D,Investigation complete; no suspect identified
2d74b9a1d6c821e203b9e022dd339f757da5129120db518d06a08611a7fda631,2023-03,Dorset Police,Dorset Police,-1.879962,50.721120,On or near ,E01033285,Bournemouth 017G,Investigation complete; no suspect identified
